Date,SPY
2021-10-04,401.90350341796875
2021-10-05,406.0854187011719
2021-10-06,407.7730712890625
2021-10-07,411.2985534667969
2021-10-08,410.5484313964844
2021-10-11,407.57623291015625
2021-10-12,406.5729675292969
2021-10-13,408.0356140136719
2021-10-14,414.89898681640625
2021-10-15,418.058837890625
2021-10-18,419.29656982421875
2021-10-19,422.53131103515625
2021-10-20,424.1909484863281
2021-10-21,425.29736328125
2021-10-22,424.8566589355469
2021-10-25,427.135009765625
2021-10-26,427.51947021484375
2021-10-27,425.62548828125
2021-10-28,429.7322692871094
2021-10-29,430.6041564941406
2021-11-01,431.344970703125
2021-11-02,433.0889892578125
2021-11-03,435.7331237792969
2021-11-04,437.7864990234375
2021-11-05,439.3054504394531
2021-11-08,439.680419921875
2021-11-09,438.2271423339844
2021-11-10,434.7016906738281
2021-11-11,434.8423156738281
2021-11-12,438.1240539550781
2021-11-15,438.2740478515625
2021-11-16,440.00860595703125
2021-11-17,438.9397277832031
2021-11-18,440.4305725097656
2021-11-19,439.6429748535156
2021-11-22,438.40533447265625
2021-11-23,438.9866638183594
2021-11-24,440.15869140625
2021-11-26,430.341796875
2021-11-29,435.62060546875
2021-11-30,427.1444396972656
2021-12-01,422.4000244140625
2021-12-02,428.8696594238281
2021-12-03,425.13787841796875
2021-12-06,430.1729431152344
2021-12-07,439.071044921875
2021-12-08,440.233642578125
2021-12-09,437.26141357421875
2021-12-10,441.3775634765625
2021-12-13,437.4676818847656
2021-12-14,434.4578857421875
2021-12-15,441.2463073730469
2021-12-16,437.35516357421875
2021-12-17,432.70050048828125
2021-12-20,428.0994567871094
2021-12-21,435.70196533203125
2021-12-22,440.0584716796875
2021-12-23,442.7965087890625
2021-12-27,449.06304931640625
2021-12-28,448.6960754394531
2021-12-29,449.27001953125
2021-12-30,448.028076171875
2021-12-31,446.89892578125
2022-01-03,449.4864196777344
2022-01-04,449.3359375
2022-01-05,440.70770263671875
2022-01-06,440.29364013671875
2022-01-07,438.5530700683594
2022-01-10,438.00726318359375
2022-01-11,441.9966735839844
2022-01-12,443.1916809082031
2022-01-13,437.0851745605469
2022-01-14,437.263916015625
2022-01-18,429.5201721191406
2022-01-19,425.0601806640625
2022-01-20,420.3555908203125
2022-01-21,412.1037292480469
2022-01-24,413.85382080078125
2022-01-25,408.80108642578125
2022-01-26,407.7755126953125
2022-01-27,405.761962890625
2022-01-28,415.8392028808594
2022-01-31,423.32891845703125
2022-02-01,426.1893310546875
2022-02-02,430.3293151855469
2022-02-03,420.2144775390625
2022-02-04,422.1904602050781
2022-02-07,420.8354187011719
2022-02-08,424.298095703125
2022-02-09,430.5081481933594
2022-02-10,422.7737121582031
2022-02-11,414.437255859375
2022-02-14,413.0823059082031
2022-02-15,419.7440185546875
2022-02-16,420.2144775390625
2022-02-17,411.2380676269531
2022-02-18,408.5753173828125
2022-02-22,404.1906433105469
2022-02-23,397.02081298828125
2022-02-24,402.9956359863281
2022-02-25,411.8873291015625
2022-02-28,410.83355712890625
2022-03-01,404.5763854980469
2022-03-02,412.01904296875
2022-03-03,409.96783447265625
2022-03-04,406.6370849609375
2022-03-07,394.649658203125
2022-03-08,391.65753173828125
2022-03-09,402.158203125
2022-03-10,400.3422546386719
2022-03-11,395.2519226074219
2022-03-14,392.3632507324219
2022-03-15,400.9915466308594
2022-03-16,409.8832092285156
2022-03-17,415.0111083984375
2022-03-18,419.5567626953125
2022-03-21,419.43402099609375
2022-03-22,424.3420104980469
2022-03-23,418.8771667480469
2022-03-24,425.1914367675781
2022-03-25,427.2679138183594
2022-03-28,430.3070983886719
2022-03-29,435.6303405761719
2022-03-30,432.9404602050781
2022-03-31,426.27691650390625
2022-04-01,427.4850158691406
2022-04-04,431.14703369140625
2022-04-05,425.70111083984375
2022-04-06,421.44439697265625
2022-04-07,423.5680847167969
2022-04-08,422.4354553222656
2022-04-11,415.215087890625
2022-04-12,413.6766052246094
2022-04-13,418.4147033691406
2022-04-14,413.20465087890625
2022-04-18,413.3744812011719
2022-04-19,420.0474853515625
2022-04-20,419.7360534667969
2022-04-21,413.45947265625
2022-04-22,402.114501953125
2022-04-25,404.4457702636719
2022-04-26,392.73272705078125
2022-04-27,393.83697509765625
2022-04-28,403.78509521484375
2022-04-29,388.8629455566406
2022-05-02,391.2037048339844
2022-05-03,392.9969482421875
2022-05-04,404.96490478515625
2022-05-05,390.5713195800781
2022-05-06,388.2400207519531
2022-05-09,375.8095703125
2022-05-10,376.677978515625
2022-05-11,370.6940612792969
2022-05-12,370.3070983886719
2022-05-13,379.1603088378906
2022-05-16,377.621826171875
2022-05-17,385.38958740234375
2022-05-18,369.85394287109375
2022-05-19,367.5887451171875
2022-05-20,367.7492370605469
2022-05-23,374.6298522949219
2022-05-24,371.7700500488281
2022-05-25,375.0545654296875
2022-05-26,382.54864501953125
2022-05-27,391.9399108886719
2022-05-31,389.74078369140625
2022-06-01,386.5882568359375
2022-06-02,393.9503173828125
2022-06-03,387.4849548339844
2022-06-06,388.6647644042969
2022-06-07,392.3929443359375
2022-06-08,388.12677001953125
2022-06-09,378.8960266113281
2022-06-10,367.90972900390625
2022-06-13,353.9407958984375
2022-06-14,352.874267578125
2022-06-15,357.9049987792969
2022-06-16,346.0596923828125
2022-06-17,346.80572509765625
2022-06-21,355.5361328125
2022-06-22,354.8914794921875
2022-06-23,358.370361328125
2022-06-24,369.7643737792969
2022-06-27,368.3519592285156
2022-06-28,360.8254699707031
2022-06-29,360.5315856933594
2022-06-30,357.6025695800781
2022-07-01,361.3847961425781
2022-07-05,362.0672607421875
2022-07-06,363.2900085449219
2022-07-07,368.7311096191406
2022-07-08,368.42779541015625
2022-07-11,364.218994140625
2022-07-12,360.9961242675781
2022-07-13,359.10028076171875
2022-07-14,358.2281494140625
2022-07-15,365.0721740722656
2022-07-18,362.0577697753906
2022-07-19,371.8403015136719
2022-07-20,374.2100524902344
2022-07-21,378.0207214355469
2022-07-22,374.5133972167969
2022-07-25,374.9683837890625
2022-07-26,370.53216552734375
2022-07-27,380.15350341796875
2022-07-28,384.9216003417969
2022-07-29,390.5332336425781
2022-08-01,389.3768310546875
2022-08-02,386.8079528808594
2022-08-03,392.8651123046875
2022-08-04,392.5997314453125
2022-08-05,391.9361877441406
2022-08-08,391.4812316894531
2022-08-09,389.9266662597656
2022-08-10,398.11669921875
2022-08-11,398.11669921875
2022-08-12,404.8563232421875
2022-08-15,406.5246887207031
2022-08-16,407.3208923339844
2022-08-17,404.42974853515625
2022-08-18,405.60516357421875
2022-08-19,400.1546936035156
2022-08-22,391.82244873046875
2022-08-23,390.8745422363281
2022-08-24,392.12579345703125
2022-08-25,397.66162109375
2022-08-26,384.201171875
2022-08-29,381.6607360839844
2022-08-30,377.470947265625
2022-08-31,374.5987548828125
2022-09-01,375.7742004394531
2022-09-02,371.8118896484375
2022-09-06,370.4090270996094
2022-09-07,377.06329345703125
2022-09-08,379.5279235839844
2022-09-09,385.4240417480469
2022-09-12,389.5663757324219
2022-09-13,372.6270446777344
2022-09-14,374.0489807128906
2022-09-15,369.80224609375
2022-09-16,366.9810791015625
2022-09-19,369.8270568847656
2022-09-20,365.5819091796875
2022-09-21,359.20477294921875
2022-09-22,356.1875915527344
2022-09-23,350.2197265625
2022-09-26,346.7550048828125
2022-09-27,345.8699035644531
2022-09-28,352.6753845214844
2022-09-29,345.3082275390625
2022-09-30,339.9686279296875
2022-10-03,348.9442138671875
2022-10-04,359.7568664550781
2022-10-05,358.919189453125
2022-10-06,355.2166748046875
2022-10-07,345.3082275390625
2022-10-10,342.6717529296875
2022-10-11,340.501708984375
2022-10-12,339.3785095214844
